date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances,gsis_url
1998-12-13,1998,15,REG,1998_15_CIN_IND,nfl-doug-pelfrey,Doug Pelfrey,CIN,IND,2,2,2,2,"41,26",https://nflgsis.com/1998/reg/15/514/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_DAL_KC,nfl-pete-stoyanovich,Pete Stoyanovich,KC,DAL,2,2,2,2,"24,37",https://nflgsis.com/1998/reg/15/515/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_DEN_NYG,nfl-brad-daluiso,Brad Daluiso,NYG,DEN,2,2,2,2,"36,19",https://nflgsis.com/1998/reg/15/516/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_DEN_NYG,nfl-jason-elam,Jason Elam,DEN,NYG,1,1,3,3,"24,38,30",https://nflgsis.com/1998/reg/15/516/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_MIN_BAL,nfl-gary-anderson,Gary Anderson,MIN,BAL,2,2,6,6,"43,31,45,24,46,20",https://nflgsis.com/1998/reg/15/517/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_NE_STL,nfl-adam-vinatieri,Adam Vinatieri,NE,STL,0,0,4,4,"37,41,56,17",https://nflgsis.com/1998/reg/15/518/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_OAK_BUF,nfl-steve-christie,Steve Christie,BUF,OAK,5,5,3,3,"32,49,32",https://nflgsis.com/1998/reg/15/519/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_PIT_TB,nfl-michael-husted,Michael Husted,TB,PIT,1,1,3,4,"39,37,21",https://nflgsis.com/1998/reg/15/520/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_TEN_JAX,nfl-al-del-greco,Al Del Greco,TEN,JAX,1,1,3,3,"28,30,41",https://nflgsis.com/1998/reg/15/522/Gamebook.pdf
1998-12-13,1998,15,REG,1998_15_TEN_JAX,nfl-mike-hollis,Mike Hollis,JAX,TEN,1,1,2,2,"21,29",https://nflgsis.com/1998/reg/15/522/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_CIN_PIT,nfl-doug-pelfrey,Doug Pelfrey,CIN,PIT,1,1,4,6,"33,37,43,21",https://nflgsis.com/1998/reg/16/530/Gamebook.pdf
1998-12-21,1998,16,REG,1998_16_DEN_MIA,nfl-jason-elam,Jason Elam,DEN,MIA,1,1,2,3,"52,44",https://nflgsis.com/1998/reg/16/540/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_IND_SEA,nfl-mike-vanderjagt,Mike Vanderjagt,IND,SEA,2,2,3,3,"32,48,20",https://nflgsis.com/1998/reg/16/531/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_IND_SEA,nfl-todd-peterson-2,Todd Peterson,SEA,IND,3,3,2,4,"42,30",https://nflgsis.com/1998/reg/16/531/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_JAX_MIN,nfl-gary-anderson,Gary Anderson,MIN,JAX,5,5,3,3,"48,53,44",https://nflgsis.com/1998/reg/16/539/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_NO_ARI,nfl-chris-jacke,Chris Jacke,ARI,NO,1,1,4,5,"21,38,46,36",https://nflgsis.com/1998/reg/16/533/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_PHI_DAL,nfl-chris-boniol,Chris Boniol,PHI,DAL,0,0,3,4,"21,41,39",https://nflgsis.com/1998/reg/16/535/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_PHI_DAL,nfl-richie-cunningham,Richie Cunningham,DAL,PHI,1,1,2,3,"42,41",https://nflgsis.com/1998/reg/16/535/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_STL_CAR,nfl-jeff-wilkins,Jeff Wilkins,STL,CAR,1,1,2,2,"43,38",https://nflgsis.com/1998/reg/16/536/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_STL_CAR,nfl-john-kasay,John Kasay,CAR,STL,2,2,2,2,"32,37",https://nflgsis.com/1998/reg/16/536/Gamebook.pdf
1998-12-19,1998,16,REG,1998_16_TB_WAS,nfl-cary-blanchard,Cary Blanchard,WAS,TB,2,2,2,2,"26,35",https://nflgsis.com/1998/reg/16/527/Gamebook.pdf
1998-12-19,1998,16,REG,1998_16_TB_WAS,nfl-michael-husted,Michael Husted,TB,WAS,1,1,3,4,"20,42,24",https://nflgsis.com/1998/reg/16/527/Gamebook.pdf
1998-12-20,1998,16,REG,1998_16_TEN_GB,nfl-ryan-longwell,Ryan Longwell,GB,TEN,3,3,3,3,"38,40,40",https://nflgsis.com/1998/reg/16/538/Gamebook.pdf
1998-12-27,1998,17,REG,1998_17_CAR_IND,nfl-john-kasay,John Kasay,CAR,IND,3,3,2,2,"44,27",https://nflgsis.com/1998/reg/17/544/Gamebook.pdf
1998-12-27,1998,17,REG,1998_17_CAR_IND,nfl-mike-vanderjagt,Mike Vanderjagt,IND,CAR,1,1,4,4,"22,28,47,42",https://nflgsis.com/1998/reg/17/544/Gamebook.pdf
1998-12-27,1998,17,REG,1998_17_GB_CHI,nfl-jeff-jaeger,Jeff Jaeger,CHI,GB,1,1,2,3,"29,21",https://nflgsis.com/1998/reg/17/546/Gamebook.pdf
1998-12-26,1998,17,REG,1998_17_MIN_TEN,nfl-al-del-greco,Al Del Greco,TEN,MIN,1,1,3,3,"36,33,45",https://nflgsis.com/1998/reg/17/542/Gamebook.pdf
1998-12-26,1998,17,REG,1998_17_MIN_TEN,nfl-gary-anderson,Gary Anderson,MIN,TEN,1,1,3,3,"39,23,39",https://nflgsis.com/1998/reg/17/542/Gamebook.pdf
1998-12-27,1998,17,REG,1998_17_NYG_PHI,nfl-brad-daluiso,Brad Daluiso,NYG,PHI,2,2,2,2,"43,33",https://nflgsis.com/1998/reg/17/549/Gamebook.pdf
1998-12-27,1998,17,REG,1998_17_SD_ARI,nfl-chris-jacke,Chris Jacke,ARI,SD,1,1,3,5,"37,36,52",https://nflgsis.com/1998/reg/17/551/Gamebook.pdf
1998-12-27,1998,17,REG,1998_17_SD_ARI,nfl-john-carney,John Carney,SD,ARI,1,1,2,2,"31,26",https://nflgsis.com/1998/reg/17/551/Gamebook.pdf
1998-12-27,1998,17,REG,1998_17_STL_SF,nfl-wade-richey,Wade Richey,SF,STL,3,3,3,3,"20,26,44",https://nflgsis.com/1998/reg/17/550/Gamebook.pdf
