date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances
1997-01-05,1996,2,POST,1996_POST_02_DIV_PIT_NE,nfl-norm-johnson,Norm Johnson,PIT,NE,0,0,1,1,29
1997-01-12,1996,3,POST,1996_POST_03_CONF_CAR_GB,nfl-chris-jacke,Chris Jacke,GB,CAR,3,3,3,4,"31,32,28"
1997-01-12,1996,3,POST,1996_POST_03_CONF_CAR_GB,nfl-john-kasay,John Kasay,CAR,GB,1,1,2,2,"22,23"
1997-01-12,1996,3,POST,1996_POST_03_CONF_JAX_NE,nfl-adam-vinatieri,Adam Vinatieri,NE,JAX,2,2,2,3,"29,20"
1997-01-12,1996,3,POST,1996_POST_03_CONF_JAX_NE,nfl-mike-hollis,Mike Hollis,JAX,NE,0,0,2,2,"32,28"
1997-01-26,1996,4,POST,1996_POST_04_SB_NE_GB,nfl-adam-vinatieri,Adam Vinatieri,NE,GB,3,3,0,0,
1997-01-26,1996,4,POST,1996_POST_04_SB_NE_GB,nfl-chris-jacke,Chris Jacke,GB,NE,3,3,2,3,"37,31"
1997-12-27,1997,1,POST,1997_POST_01_WC_JAX_DEN,nfl-jason-elam,Jason Elam,DEN,JAX,6,6,0,0,
1997-12-27,1997,1,POST,1997_POST_01_WC_JAX_DEN,nfl-mike-hollis,Mike Hollis,JAX,DEN,2,2,1,1,38
1997-12-27,1997,1,POST,1997_POST_01_WC_MIN_NYG,nfl-brad-daluiso,Brad Daluiso,NYG,MIN,1,1,5,5,"43,22,41,51,22"
1997-12-27,1997,1,POST,1997_POST_01_WC_MIN_NYG,nfl-eddie-murray,Eddie Murray,MIN,NYG,2,2,3,4,"26,26,24"
1997-12-28,1997,1,POST,1997_POST_01_WC_DET_TB,nfl-jason-hanson-2,Jason Hanson,DET,TB,1,1,1,1,33
1997-12-28,1997,1,POST,1997_POST_01_WC_DET_TB,nfl-michael-husted,Michael Husted,TB,DET,2,2,2,2,"22,42"
1997-12-28,1997,1,POST,1997_POST_01_WC_MIA_NE,nfl-adam-vinatieri,Adam Vinatieri,NE,MIA,2,2,1,3,22
1997-12-28,1997,1,POST,1997_POST_01_WC_MIA_NE,nfl-olindo-mare,Olindo Mare,MIA,NE,0,0,1,1,38
1998-01-03,1997,2,POST,1997_POST_02_DIV_MIN_SF,nfl-eddie-murray,Eddie Murray,MIN,SF,2,2,0,0,
1998-01-03,1997,2,POST,1997_POST_02_DIV_MIN_SF,nfl-gary-anderson,Gary Anderson,SF,MIN,5,5,1,1,34
1998-01-03,1997,2,POST,1997_POST_02_DIV_NE_PIT,nfl-adam-vinatieri,Adam Vinatieri,NE,PIT,0,0,2,2,"31,46"
1998-01-03,1997,2,POST,1997_POST_02_DIV_NE_PIT,nfl-norm-johnson,Norm Johnson,PIT,NE,1,1,0,0,
1998-01-04,1997,2,POST,1997_POST_02_DIV_DEN_KC,nfl-jason-elam,Jason Elam,DEN,KC,2,2,0,0,
1998-01-04,1997,2,POST,1997_POST_02_DIV_DEN_KC,nfl-pete-stoyanovich,Pete Stoyanovich,KC,DEN,1,1,1,2,20
1998-01-04,1997,2,POST,1997_POST_02_DIV_TB_GB,nfl-michael-husted,Michael Husted,TB,GB,1,1,0,1,
1998-01-04,1997,2,POST,1997_POST_02_DIV_TB_GB,nfl-ryan-longwell,Ryan Longwell,GB,TB,1,1,2,2,"21,32"
1998-01-11,1997,3,POST,1997_POST_03_CONF_DEN_PIT,nfl-jason-elam,Jason Elam,DEN,PIT,3,3,1,1,43
1998-01-11,1997,3,POST,1997_POST_03_CONF_DEN_PIT,nfl-norm-johnson,Norm Johnson,PIT,DEN,3,3,0,1,
1998-01-11,1997,3,POST,1997_POST_03_CONF_GB_SF,nfl-gary-anderson,Gary Anderson,SF,GB,1,1,1,1,28
1998-01-11,1997,3,POST,1997_POST_03_CONF_GB_SF,nfl-ryan-longwell,Ryan Longwell,GB,SF,2,2,3,4,"19,43,25"
1998-01-25,1997,4,POST,1997_POST_04_SB_GB_DEN,nfl-jason-elam,Jason Elam,DEN,GB,4,4,1,1,51
1998-01-25,1997,4,POST,1997_POST_04_SB_GB_DEN,nfl-ryan-longwell,Ryan Longwell,GB,DEN,3,3,1,1,27
1999-01-02,1998,1,POST,1998_POST_01_WC_ARI_DAL,nfl-chris-jacke,Chris Jacke,ARI,DAL,2,2,2,2,"37,46"
1999-01-02,1998,1,POST,1998_POST_01_WC_ARI_DAL,nfl-richie-cunningham,Richie Cunningham,DAL,ARI,1,1,0,1,
1999-01-02,1998,1,POST,1998_POST_01_WC_BUF_MIA,nfl-olindo-mare,Olindo Mare,MIA,BUF,1,1,3,4,"31,40,23"
1999-01-02,1998,1,POST,1998_POST_01_WC_BUF_MIA,nfl-steve-christie,Steve Christie,BUF,MIA,2,2,1,1,33
1999-01-03,1998,1,POST,1998_POST_01_WC_GB_SF,nfl-ryan-longwell,Ryan Longwell,GB,SF,3,3,2,3,"23,37"
1999-01-03,1998,1,POST,1998_POST_01_WC_GB_SF,nfl-wade-richey,Wade Richey,SF,GB,3,3,3,3,"34,48,40"
1999-01-03,1998,1,POST,1998_POST_01_WC_NE_JAX,nfl-adam-vinatieri,Adam Vinatieri,NE,JAX,1,1,1,1,27
1999-01-03,1998,1,POST,1998_POST_01_WC_NE_JAX,nfl-mike-hollis,Mike Hollis,JAX,NE,1,1,4,4,"35,24,34,21"
1999-01-09,1998,2,POST,1998_POST_02_DIV_MIA_DEN,nfl-jason-elam,Jason Elam,DEN,MIA,5,5,1,1,32
1999-01-09,1998,2,POST,1998_POST_02_DIV_MIA_DEN,nfl-olindo-mare,Olindo Mare,MIA,DEN,0,0,1,1,22
1999-01-09,1998,2,POST,1998_POST_02_DIV_SF_ATL,nfl-morten-andersen,Morten Andersen,ATL,SF,2,2,2,2,"29,32"
1999-01-09,1998,2,POST,1998_POST_02_DIV_SF_ATL,nfl-wade-richey,Wade Richey,SF,ATL,1,1,1,1,36
1999-01-10,1998,2,POST,1998_POST_02_DIV_ARI_MIN,nfl-chris-jacke,Chris Jacke,ARI,MIN,3,3,0,0,
1999-01-10,1998,2,POST,1998_POST_02_DIV_ARI_MIN,nfl-gary-anderson,Gary Anderson,MIN,ARI,5,5,2,2,"34,20"
1999-01-10,1998,2,POST,1998_POST_02_DIV_JAX_NYJ,nfl-john-hall,John Hall,NYJ,JAX,4,4,2,2,"52,30"
1999-01-10,1998,2,POST,1998_POST_02_DIV_JAX_NYJ,nfl-mike-hollis,Mike Hollis,JAX,NYJ,3,3,1,1,37
1999-01-17,1998,3,POST,1998_POST_03_CONF_ATL_MIN,nfl-gary-anderson,Gary Anderson,MIN,ATL,3,3,2,3,"29,35"
1999-01-17,1998,3,POST,1998_POST_03_CONF_ATL_MIN,nfl-morten-andersen,Morten Andersen,ATL,MIN,3,3,3,3,"27,24,38"
1999-01-17,1998,3,POST,1998_POST_03_CONF_NYJ_DEN,nfl-jason-elam,Jason Elam,DEN,NYJ,2,2,3,3,"44,48,35"
1999-01-17,1998,3,POST,1998_POST_03_CONF_NYJ_DEN,nfl-john-hall,John Hall,NYJ,DEN,1,1,1,2,32
1999-01-31,1998,4,POST,1998_POST_04_SB_DEN_ATL,nfl-jason-elam,Jason Elam,DEN,ATL,4,4,2,4,"26,37"
1999-01-31,1998,4,POST,1998_POST_04_SB_DEN_ATL,nfl-morten-andersen,Morten Andersen,ATL,DEN,1,1,2,3,"32,28"
